Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags
蝦皮商品搬站_Step1.安裝啟用,商品>商品上架/管理,"August 29, 2019 9:25 AM (GMT+8)",Step1.安裝啟用 (https://app.notion.com/p/Step1-31724ee0f33c80e6b490e4e9f8d69de4?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,365,https://www.cyberbiz.io/helpcenter/?p=365,post,
蝦皮商品搬站_Step2.導入商品,商品>商品上架/管理,"June 30, 2025 10:24 AM (GMT+8)",Step2.導入商品與建立關聯 (https://app.notion.com/p/Step2-31724ee0f33c80fdb08af3e72e5b4973?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,5923,https://www.cyberbiz.io/helpcenter/?p=5923,post,
PLUS版功能 - 自訂擴充服務 : 串接API/Webhook,常見問題,"November 17, 2023 8:26 AM (GMT+8)",API 與 Webhook 串接指南 (https://app.notion.com/p/API-Webhook-37c24ee0f33c8093924cd2c3f2bc8f55?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Yes,7875,https://www.cyberbiz.io/helpcenter/?p=7875,post,
AUTOMATION 發送教學(簡訊/EDM/LINE OA),"AUTOMATION,PLUS版適用","November 28, 2023 5:59 AM (GMT+8)",使用 AUTOMATION 建立自動化推播流程 (https://app.notion.com/p/AUTOMATION-31e24ee0f33c801fa913fd79c84c3946?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,7955,https://www.cyberbiz.io/helpcenter/?p=7955,post,PLUS版專用
API&Webhook 串接文件,常見問題,"March 25, 2024 10:46 AM (GMT+8)",API 與 Webhook 串接指南 (https://app.notion.com/p/API-Webhook-37c24ee0f33c8093924cd2c3f2bc8f55?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Yes,8544,https://www.cyberbiz.io/helpcenter/?p=8544,post,
門市助理 - 會員等級【下架合併企業版】,"PLUS版適用,門市助理","May 6, 2024 7:09 AM (GMT+8)",會員數據智庫 (https://app.notion.com/p/35624ee0f33c80e9b13bf62d74c6b3ed?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,,Yes,8669,https://www.cyberbiz.io/helpcenter/?p=8669,post,PLUS版專用
蝦皮商品搬站_Step3.官網與蝦皮賣場庫存同步,PLUS版適用,"November 26, 2025 8:42 AM (GMT+8)",Step3.官網與蝦皮商品庫存同步 (https://app.notion.com/p/Step3-31724ee0f33c8048a563fc9d31b99be6?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,12648,https://www.cyberbiz.io/helpcenter/?p=12648,post,
蝦皮商品搬站_Step4.官網商品建立為蝦皮商品,PLUS版適用,"December 16, 2025 2:23 AM (GMT+8)",Step4.官網商品建立為蝦皮商品 (https://app.notion.com/p/Step4-31724ee0f33c80039a2cf14d81a10b1b?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,12688,https://www.cyberbiz.io/helpcenter/?p=12688,post,
蝦皮商品搬站_Step5.官網商品與蝦皮商品資訊同步,PLUS版適用,"December 16, 2025 2:20 AM (GMT+8)",Step5.官網與蝦皮商品資訊同步 (https://app.notion.com/p/Step5-31124ee0f33c807888bcf7f10f25074f?pvs=21),https://app.notion.com/2ed24ee0f33c80819242e40ba1952bb5,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,12690,https://www.cyberbiz.io/helpcenter/?p=12690,post,
