Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,Rollup,認領作者數量,create,note,301
LINE OA訊息提醒樣板設定,https://www.cyberbiz.io/support/?p=728,728,第三方整合>LINE相關設定,,"December 30, 2022 6:34 AM (GMT+8)",post,設定與管理 LINE OA 通知樣板 (https://app.notion.com/p/LINE-OA-30624ee0f33c80aabda3f1e6d2265c58?pvs=21),Jase,1,"December 31, 2025 12:22 PM",,https://app.notion.com/30424ee0f33c808e9f60dc11284260e9
LINE OA 加入好友邀請(簡訊&E-mail),https://www.cyberbiz.io/support/?p=739,739,第三方整合>LINE相關設定,,"March 2, 2022 9:00 AM (GMT+8)",post,發送 LINE 加入好友邀請 (https://app.notion.com/p/LINE-30f24ee0f33c8026b1b2edef7d86e645?pvs=21),Jase,1,"December 31, 2025 12:22 PM",,"https://app.notion.com/24f24ee0f33c80dbbd46cfaace98bac4, https://app.notion.com/30424ee0f33c808e9f60dc11284260e9"
簡訊設定教學,https://www.cyberbiz.io/support/?p=1529,1529,"TW台灣站,行銷活動>行銷工具","推播,簡訊,行銷","October 24, 2022 3:32 AM (GMT+8)",post,設定與發送簡訊通知 (https://app.notion.com/p/34f24ee0f33c808fa195c44f8128829e?pvs=21),Jase,1,"December 31, 2025 12:22 PM",,https://app.notion.com/30424ee0f33c808e9f60dc11284260e9
簡訊通知樣板管理,https://www.cyberbiz.io/support/?p=5734,5734,"TW台灣站,跨境電商>日本站,行銷活動>行銷工具,跨境電商>北美站","推播,簡訊,行銷","January 30, 2023 9:47 AM (GMT+8)",post,設定與管理簡訊通知樣板 (https://app.notion.com/p/30624ee0f33c80c59a85e0b79f7c4f40?pvs=21),Jase,1,"December 31, 2025 12:22 PM",,https://app.notion.com/30424ee0f33c808e9f60dc11284260e9
Email通知樣板管理,https://www.cyberbiz.io/support/?p=7709,7709,行銷活動>行銷工具,"EMAIL,行銷,訊息","January 17, 2023 1:19 AM (GMT+8)",post,管理與管理 Email 通知樣板 (https://app.notion.com/p/Email-30424ee0f33c80ccab14da999c00af78?pvs=21),Jase,1,"December 31, 2025 12:22 PM",,https://app.notion.com/30424ee0f33c808e9f60dc11284260e9
多國語系-email樣板,https://www.cyberbiz.io/support/?p=7742,7742,跨境電商>多國語系,,"June 2, 2020 2:53 AM (GMT+8)",post,管理與管理 Email 通知樣板 (https://app.notion.com/p/Email-30424ee0f33c80ccab14da999c00af78?pvs=21),Jase,1,"December 31, 2025 12:22 PM",,https://app.notion.com/30424ee0f33c808e9f60dc11284260e9
EDM設定,https://www.cyberbiz.io/support/?p=23782,23782,行銷活動>行銷工具,,"December 10, 2021 2:45 AM (GMT+8)",post,設定與發送 EDM 電子報 (https://app.notion.com/p/EDM-31e24ee0f33c80ce8ee7e563af0f64a7?pvs=21),Jase,1,"December 31, 2025 12:22 PM",,"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/30424ee0f33c808e9f60dc11284260e9"
