Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags
PLUS用戶 - 電子票券設定,"PLUS版適用,商品>電子票券","October 4, 2022 5:53 AM (GMT+8)",電子票券設定指南 (https://app.notion.com/p/24f24ee0f33c80cca7a5d04aa01cae76?pvs=21),https://app.notion.com/24f24ee0f33c805aa4edf75be03d99b6,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5807,https://www.cyberbiz.io/helpcenter/?p=5807,post,"PLUS版專用,電子票券"
PLUS用戶 - 電子票券 : 優惠設定,"PLUS版適用,商品>電子票券","September 26, 2022 4:21 AM (GMT+8)",設定電子票券優惠 (https://app.notion.com/p/24f24ee0f33c8064b4ecf332a9e41863?pvs=21),https://app.notion.com/24f24ee0f33c805aa4edf75be03d99b6,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,5812,https://www.cyberbiz.io/helpcenter/?p=5812,post,PLUS版專用
PLUS版功能 - 電子票券 : 門市權限功能,PLUS版適用,"December 29, 2023 6:35 AM (GMT+8)",設定電子票券門市權限 (https://app.notion.com/p/24f24ee0f33c8089b3afe82895a5b2a5?pvs=21),https://app.notion.com/24f24ee0f33c805aa4edf75be03d99b6,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,8118,https://www.cyberbiz.io/helpcenter/?p=8118,post,PLUS版專用
