Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note
分潤設定：註冊人分潤,https://www.cyberbiz.io/support/?p=1720,1720,行銷活動>分潤設定,,"March 20, 2019 3:54 AM (GMT+8)",post,註冊人分潤 (https://app.notion.com/p/25b24ee0f33c8000a068cb1501b1ddf5?pvs=21),https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,branch,"https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
分潤 : 推薦人分潤(員工分潤),https://www.cyberbiz.io/support/?p=1833,1833,"行銷活動>分潤設定,常見問題",,"March 20, 2019 8:40 AM (GMT+8)",post,"推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 推薦碼連結的應用 (https://app.notion.com/p/2fd24ee0f33c80afa39bf4ff179c51be?pvs=21), 查詢分潤夥伴與代碼 (https://app.notion.com/p/2fc24ee0f33c8048899df04035903054?pvs=21), 匯出分潤報表 (https://app.notion.com/p/2fc24ee0f33c805fb300de10bcd543a9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch,branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Ann Chen,Ann Chen,Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",
分潤 : 推薦人分潤(顧客分潤),https://www.cyberbiz.io/support/?p=1864,1864,"行銷活動>分潤設定,常見問題",,"March 20, 2019 9:03 AM (GMT+8)",post,"推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 查詢分潤夥伴與代碼 (https://app.notion.com/p/2fc24ee0f33c8048899df04035903054?pvs=21), 匯出分潤報表 (https://app.notion.com/p/2fc24ee0f33c805fb300de10bcd543a9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Ann Chen,Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",
顧客推薦分潤,https://www.cyberbiz.io/support/?p=23951,23951,"行銷活動>分潤設定,行銷活動>優惠券(碼)",,"December 14, 2021 2:47 AM (GMT+8)",post,推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21),https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,branch,"https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
分潤功能說明,https://www.cyberbiz.io/support/?p=28632,28632,行銷活動>分潤設定,,"March 17, 2022 7:19 AM (GMT+8)",post,了解分潤功能 (https://app.notion.com/p/25b24ee0f33c80eab702f71a1e99aba9?pvs=21),https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,branch,"https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",
分潤 : 推薦人分潤(第三方分潤),https://www.cyberbiz.io/support/?p=39234,39234,常見問題,,"October 12, 2023 6:59 AM (GMT+8)",post,"推薦人分潤 (https://app.notion.com/p/25b24ee0f33c80b4823bc687cb3686a7?pvs=21), 推薦碼連結的應用 (https://app.notion.com/p/2fd24ee0f33c80afa39bf4ff179c51be?pvs=21), 查詢分潤夥伴與代碼 (https://app.notion.com/p/2fc24ee0f33c8048899df04035903054?pvs=21), 匯出分潤報表 (https://app.notion.com/p/2fc24ee0f33c805fb300de10bcd543a9?pvs=21)","https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f,https://app.notion.com/2fc24ee0f33c80f586e3dc0bd58a146f","branch,branch,branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Ann Chen,Ann Chen,Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",
