Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags
簡訊設定教學,行銷活動>行銷工具,"October 24, 2022 3:32 AM (GMT+8)",設定與發送簡訊通知 (https://app.notion.com/p/34f24ee0f33c808fa195c44f8128829e?pvs=21),https://app.notion.com/30424ee0f33c808e9f60dc11284260e9,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,621,https://www.cyberbiz.io/helpcenter/?p=621,post,簡訊
Email通知樣板管理,"PLUS版適用,常見問題,行銷活動>行銷工具","January 17, 2023 1:00 AM (GMT+8)",管理與管理 Email 通知樣板 (https://app.notion.com/p/Email-30424ee0f33c80ccab14da999c00af78?pvs=21),https://app.notion.com/30424ee0f33c808e9f60dc11284260e9,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2061,https://www.cyberbiz.io/helpcenter/?p=2061,post,EMAIL
EDM設定,行銷活動>行銷工具,"January 26, 2022 6:39 AM (GMT+8)",設定與發送 EDM 電子報 (https://app.notion.com/p/EDM-31e24ee0f33c80ce8ee7e563af0f64a7?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/30424ee0f33c808e9f60dc11284260e9",branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,4412,https://www.cyberbiz.io/helpcenter/?p=4412,post,
簡訊通知樣板管理,"PLUS版適用,行銷活動>行銷工具","January 30, 2023 9:58 AM (GMT+8)",設定與管理簡訊通知樣板 (https://app.notion.com/p/30624ee0f33c80c59a85e0b79f7c4f40?pvs=21),https://app.notion.com/30424ee0f33c808e9f60dc11284260e9,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,6785,https://www.cyberbiz.io/helpcenter/?p=6785,post,
PLUS版功能 - LINE OA訊息提醒樣板設定,常見問題,"January 11, 2024 3:59 AM (GMT+8)",設定與管理 LINE OA 通知樣板 (https://app.notion.com/p/LINE-OA-30624ee0f33c80aabda3f1e6d2265c58?pvs=21),https://app.notion.com/30424ee0f33c808e9f60dc11284260e9,branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,8156,https://www.cyberbiz.io/helpcenter/?p=8156,post,"LINE,LINE OA,PLUS版專用"
多國語系-email樣板,"PLUS版適用,網站設定>前台介面","February 21, 2025 7:07 AM (GMT+8)",管理與管理 Email 通知樣板 (https://app.notion.com/p/Email-30424ee0f33c80ccab14da999c00af78?pvs=21),https://app.notion.com/30424ee0f33c808e9f60dc11284260e9,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,11195,https://www.cyberbiz.io/helpcenter/?p=11195,post,
