Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note
電子票券設定,https://www.cyberbiz.io/support/?p=23413,23413,電子票券,,"December 6, 2021 2:58 AM (GMT+8)",post,電子票券設定指南 (https://app.notion.com/p/24f24ee0f33c80cca7a5d04aa01cae76?pvs=21),https://app.notion.com/24f24ee0f33c805aa4edf75be03d99b6,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
電子票券-優惠設定,https://www.cyberbiz.io/support/?p=27477,27477,電子票券,"優惠活動,電子票券","March 6, 2022 10:00 PM (GMT+8)",post,設定電子票券優惠 (https://app.notion.com/p/24f24ee0f33c8064b4ecf332a9e41863?pvs=21),https://app.notion.com/24f24ee0f33c805aa4edf75be03d99b6,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
電子票券 : 門市權限功能,https://www.cyberbiz.io/support/?p=40429,40429,"TW台灣站,商品,電子票券",電子票券,"December 28, 2023 9:55 AM (GMT+8)",post,設定電子票券門市權限 (https://app.notion.com/p/24f24ee0f33c8089b3afe82895a5b2a5?pvs=21),https://app.notion.com/24f24ee0f33c805aa4edf75be03d99b6,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",
